stage,split,column,pattern,count
raw,train,article,replacement_char,0
raw,train,article,mojibake_hint,919
raw,train,article,html_tag,0
raw,train,article,html_entity,0
raw,train,article,url,39
raw,train,article,email,16
raw,train,article,phone_like,278
raw,train,article,multi_space,85
raw,train,article,control_char,0
raw,train,summary,replacement_char,0
raw,train,summary,mojibake_hint,226
raw,train,summary,html_tag,0
raw,train,summary,html_entity,0
raw,train,summary,url,9
raw,train,summary,email,0
raw,train,summary,phone_like,73
raw,train,summary,multi_space,2213
raw,train,summary,control_char,0
raw,valid,article,replacement_char,0
raw,valid,article,mojibake_hint,121
raw,valid,article,html_tag,0
raw,valid,article,html_entity,0
raw,valid,article,url,5
raw,valid,article,email,4
raw,valid,article,phone_like,31
raw,valid,article,multi_space,14
raw,valid,article,control_char,0
raw,valid,summary,replacement_char,0
raw,valid,summary,mojibake_hint,24
raw,valid,summary,html_tag,0
raw,valid,summary,html_entity,0
raw,valid,summary,url,0
raw,valid,summary,email,0
raw,valid,summary,phone_like,5
raw,valid,summary,multi_space,261
raw,valid,summary,control_char,0
clean,train,article,replacement_char,0
clean,train,article,mojibake_hint,919
clean,train,article,html_tag,51
clean,train,article,html_entity,0
clean,train,article,url,0
clean,train,article,email,0
clean,train,article,phone_like,281
clean,train,article,multi_space,0
clean,train,article,control_char,0
clean,train,summary,replacement_char,0
clean,train,summary,mojibake_hint,226
clean,train,summary,html_tag,9
clean,train,summary,html_entity,0
clean,train,summary,url,0
clean,train,summary,email,0
clean,train,summary,phone_like,74
clean,train,summary,multi_space,0
clean,train,summary,control_char,0
clean,valid,article,replacement_char,0
clean,valid,article,mojibake_hint,121
clean,valid,article,html_tag,8
clean,valid,article,html_entity,0
clean,valid,article,url,0
clean,valid,article,email,0
clean,valid,article,phone_like,31
clean,valid,article,multi_space,0
clean,valid,article,control_char,0
clean,valid,summary,replacement_char,0
clean,valid,summary,mojibake_hint,24
clean,valid,summary,html_tag,0
clean,valid,summary,html_entity,0
clean,valid,summary,url,0
clean,valid,summary,email,0
clean,valid,summary,phone_like,5
clean,valid,summary,multi_space,0
clean,valid,summary,control_char,0
